GROUP_SET, GROUP_ID, GROUP_NAME, TEAM_ID, TEAM_ABBREVIATION, GP, W, L, W_PCT, MIN, E_OFF_RATING, OFF_RATING, E_DEF_RATING, DEF_RATING, E_NET_RATING, NET_RATING, AST_PCT, AST_TO, AST_RATIO, OREB_PCT, DREB_PCT, REB_PCT, TM_TOV_PCT, EFG_PCT, TS_PCT, E_PACE, PACE, PACE_PER40, POSS, PIE, GP_RANK, W_RANK, L_RANK, W_PCT_RANK, MIN_RANK, OFF_RATING_RANK, DEF_RATING_RANK, NET_RATING_RANK, AST_PCT_RANK, AST_TO_RANK, AST_RATIO_RANK, OREB_PCT_RANK, DREB_PCT_RANK, REB_PCT_RANK, TM_TOV_PCT_RANK, EFG_PCT_RANK, TS_PCT_RANK, PIE_RANK,p1,p2,p3,p4,p5,p1_cluster,p2_cluster,p3_cluster,p4_cluster,p5_cluster
Lineups, -201950-203114-203507-1626171-1628960-, J. Holiday - K. Middleton - G. Antetokounmpo - B. Portis - G. Allen,1610612749,MIL,36,28,8,0.778,337.0,118.5,115.6,108.6,108.7,9.9,6.9,0.648,2.53,20.3,0.234,0.824,0.539,0.112,0.579,0.607,103.2,104.39,86.99,744,0.559,6,5,17279,5970,16,5988,9810,6887,6571,1752,4589,7612,6186,5979,9502,6002,6367,6795,J. Holiday,K. Middleton,G. Antetokounmpo,B. Portis,G. Allen,1,1,1,5,0
Lineups, -203486-1626179-1628970-1629023-1630163-, M. Plumlee - T. Rozier - M. Bridges - P. Washington - L. Ball,1610612766,CHO,30,16,14,0.533,327.0,120.1,120.2,111.5,111.0,8.5,9.2,0.729,2.46,23.2,0.227,0.737,0.496,0.134,0.617,0.635,101.3,101.5,84.58,693,0.545,12,18,17371,7206,17,5244,10046,6662,4971,1944,3456,7687,8135,9221,10443,5140,5548,7104,M. Plumlee,T. Rozier,M. Bridges,P. Washington,L. Ball,5,3,3,0,1
Lineups, -201935-202699-203954-1629680-1630178-, J. Harden - T. Harris - J. Embiid - M. Thybulle - T. Maxey,1610612755,PHI,20,14,6,0.7,323.0,121.5,122.3,103.2,102.1,18.3,20.2,0.645,2.6,20.3,0.212,0.725,0.481,0.108,0.582,0.629,99.7,99.94,83.28,669,0.593,46,27,17121,6259,18,5062,9243,5543,6598,1736,4590,7903,8316,9401,9158,5977,5695,6220,J. Harden,T. Harris,J. Embiid,M. Thybulle,T. Maxey,1,3,1,0,3
Lineups, -203078-203484-203915-1628398-1629655-, B. Beal - K. Caldwell-Pope - S. Dinwiddie - K. Kuzma - D. Gafford,1610612764,WAS,26,12,14,0.462,319.0,101.1,101.1,106.5,106.5,-5.4,-5.4,0.599,1.64,17.1,0.263,0.719,0.499,0.143,0.491,0.525,99.4,99.43,82.86,659,0.486,19,50,17371,8984,19,7488,9588,9538,7409,3728,6872,6652,8381,9216,10603,9307,8684,8414,B. Beal,K. Caldwell-Pope,S. Dinwiddie,K. Kuzma,D. Gafford,1,3,3,3,5
Lineups, -203926-1627749-1627751-1628401-1629640-, D. McDermott - D. Murray - J. Poeltl - D. White - K. Johnson,1610612759,SAS,25,11,14,0.44,308.0,113.2,112.9,108.8,107.5,4.4,5.4,0.715,3.35,21.6,0.268,0.728,0.485,0.094,0.524,0.547,102.5,103.26,86.05,660,0.527,21,59,17371,9019,20,6347,9677,7000,5040,885,4141,6582,8237,9326,8676,7154,8093,7452,D. McDermott,D. Murray,J. Poeltl,D. White,K. Johnson,0,1,5,3,6
Lineups, -203081-203468-203496-203994-1626181-, D. Lillard - C. McCollum - R. Covington - J. Nurkic - N. Powell,1610612757,POR,17,9,8,0.529,274.0,111.8,112.1,112.0,111.2,-0.1,0.8,0.635,2.32,19.2,0.255,0.801,0.52,0.115,0.549,0.571,102.7,102.93,85.77,589,0.509,86,106,17279,7214,21,6479,10148,7297,6709,2078,5819,6693,6348,6411,9581,6704,7426,7788,D. Lillard,C. McCollum,R. Covington,J. Nurkic,N. Powell,1,1,0,5,3
Lineups, -202709-203924-1630180-1630191-1630595-, C. Joseph - J. Grant - S. Bey - I. Stewart - C. Cunningham,1610612765,DET,19,8,11,0.421,273.0,114.2,114.0,108.3,109.3,6.0,4.7,0.574,1.81,17.4,0.318,0.709,0.511,0.134,0.532,0.571,98.8,98.47,82.06,559,0.517,55,147,17350,9075,22,6256,9882,7062,7555,3448,6750,5892,8670,6563,10442,7021,7390,7653,C. Joseph,J. Grant,S. Bey,I. Stewart,C. Cunningham,6,3,3,5,1
Lineups, -203924-1630165-1630180-1630191-1630595-, J. Grant - K. Hayes - S. Bey - I. Stewart - C. Cunningham,1610612765,DET,21,8,13,0.381,256.0,95.8,95.7,113.9,113.2,-18.1,-17.6,0.615,1.31,15.8,0.318,0.722,0.5,0.169,0.453,0.486,99.7,100.0,83.34,532,0.372,39,147,17365,9223,23,9695,10360,10697,6945,4488,7935,5891,8360,6616,12227,9767,10525,10480,J. Grant,K. Hayes,S. Bey,I. Stewart,C. Cunningham,3,6,3,5,1
Lineups, -202699-203552-203954-1629680-1630178-, T. Harris - S. Curry - J. Embiid - M. Thybulle - T. Maxey,1610612755,PHI,21,11,10,0.524,256.0,105.6,105.1,115.2,115.7,-9.6,-10.6,0.631,2.07,17.6,0.17,0.733,0.454,0.112,0.5,0.551,95.5,95.54,79.62,509,0.456,39,59,17335,7218,24,7276,10664,10045,6734,2223,6707,8668,8209,10045,9504,7316,8013,8936,T. Harris,S. Curry,J. Embiid,M. Thybulle,T. Maxey,3,3,1,0,3
Lineups, -1628983-1629647-1629652-1630526-1630581-, S. Gilgeous-Alexander - D. Bazley - L. Dort - J. Robinson-Earl - J. Giddey,1610612760,OKC,25,8,17,0.32,254.0,94.8,94.3,110.7,112.4,-15.9,-18.2,0.559,1.63,15.4,0.194,0.725,0.453,0.124,0.464,0.495,102.5,102.02,85.01,541,0.416,21,147,17379,9827,25,9811,10224,10741,7779,3732,8078,8494,8317,10050,9770,9600,10430,9749,S. Gilgeous-Alexander,D. Bazley,L. Dort,J. Robinson-Earl,J. Giddey,1,0,3,0,3
Lineups, -201942-202696-203897-1629750-1630245-, D. DeRozan - N. Vucevic - Z. LaVine - J. Green - A. Dosunmu,1610612741,CHI,23,10,13,0.435,252.0,117.1,114.9,119.4,119.7,-2.3,-4.8,0.628,2.69,20.2,0.186,0.741,0.468,0.102,0.57,0.607,99.5,100.3,83.58,530,0.496,28,78,17365,9024,26,6065,11130,9481,6743,1668,4607,8538,8115,9635,9030,6220,6364,8286,D. DeRozan,N. Vucevic,Z. LaVine,J. Green,A. Dosunmu,1,5,1,0,6
Lineups, -201980-202699-203552-203954-1630178-, D. Green - T. Harris - S. Curry - J. Embiid - T. Maxey,1610612755,PHI,17,8,9,0.471,250.0,109.9,111.2,103.9,103.0,6.0,8.2,0.548,2.07,16.8,0.212,0.787,0.502,0.108,0.534,0.573,97.4,97.27,81.06,511,0.53,86,147,17307,8982,27,6549,9301,6802,7900,2222,6920,7909,6874,6615,9159,6987,7317,7398,D. Green,T. Harris,S. Curry,J. Embiid,T. Maxey,0,3,3,1,3
Lineups, -203991-203992-1628381-1629027-1629631-, C. Capela - B. Bogdanovic - J. Collins - T. Young - D. Hunter,1610612737,ATL,16,6,10,0.375,246.0,116.4,118.0,111.7,111.4,4.8,6.7,0.584,2.18,19.2,0.289,0.755,0.528,0.124,0.567,0.589,98.2,97.69,81.41,499,0.528,99,288,17335,9225,28,5647,10156,6891,7464,2173,5821,6194,7263,6230,9773,6280,6857,7451,C. Capela,B. Bogdanovic,J. Collins,T. Young,D. Hunter,5,3,5,1,0
Lineups, -201568-203991-1628989-1629027-1629631-, D. Gallinari - C. Capela - K. Huerter - T. Young - D. Hunter,1610612737,ATL,23,15,8,0.652,232.0,120.7,119.4,117.9,116.6,2.8,2.8,0.574,2.82,18.6,0.24,0.756,0.486,0.091,0.568,0.597,99.3,100.4,83.66,484,0.494,28,22,17279,6881,29,5519,10705,7189,7553,1624,6062,7560,7257,9313,8404,6239,6647,8309,D. Gallinari,C. Capela,K. Huerter,T. Young,D. Hunter,0,5,3,1,0
Lineups, -200752-201144-203497-203903-204060-, R. Gay - M. Conley - R. Gobert - J. Clarkson - J. Ingles,1610612762,UTA,25,19,6,0.76,226.0,116.0,114.2,99.7,97.3,16.4,16.9,0.596,1.7,16.9,0.319,0.748,0.542,0.138,0.548,0.589,99.1,101.16,84.3,479,0.588,21,12,17121,5983,30,6250,6990,5853,7414,3592,6915,5882,8085,5934,10531,6715,6869,6271,R. Gay,M. Conley,R. Gobert,J. Clarkson,J. Ingles,0,3,5,3,6
Lineups, -1628374-1628386-1629636-1630171-1630596-, L. Markkanen - J. Allen - D. Garland - I. Okoro - E. Mobley,1610612739,CLE,19,13,6,0.684,225.0,115.4,115.3,103.8,103.7,11.6,11.6,0.654,1.84,20.7,0.286,0.752,0.542,0.159,0.586,0.614,98.4,98.45,82.04,464,0.582,55,38,17121,6282,31,6039,9351,6430,6542,3416,4487,6198,7272,5933,11526,5781,6215,6389,L. Markkanen,J. Allen,D. Garland,I. Okoro,E. Mobley,3,5,1,0,5
Lineups, -201587-202694-202704-1627826-1629599-, N. Batum - M. Morris Sr. - R. Jackson - I. Zubac - A. Coffey,1610612746,LAC,18,7,11,0.389,221.0,106.5,106.4,120.2,119.9,-13.7,-13.5,0.6,2.08,17.7,0.222,0.767,0.488,0.116,0.507,0.542,97.9,98.04,81.7,450,0.442,67,212,17350,9216,32,7155,11132,10271,6993,2221,6588,7699,7190,9286,9582,7304,8216,9245,N. Batum,M. Morris Sr.,R. Jackson,I. Zubac,A. Coffey,0,3,3,5,0
Lineups, -202355-202711-203903-1626220-1628378-, H. Whiteside - B. Bogdanovic - J. Clarkson - R. O'Neale - D. Mitchell,1610612762,UTA,45,29,16,0.644,220.0,118.0,116.0,107.2,105.9,10.8,10.1,0.487,1.55,15.0,0.332,0.736,0.539,0.132,0.549,0.588,101.2,102.72,85.6,468,0.536,1,3,17377,6886,33,5957,9541,6549,9997,3823,8344,5844,8160,5978,10338,6703,6888,7289,H. Whiteside,B. Bogdanovic,J. Clarkson,R. O'Neale,D. Mitchell,5,3,3,0,1
Lineups, -203500-1628991-1629630-1630217-1630533-, S. Adams - J. Jackson Jr. - J. Morant - D. Bane - Z. Williams,1610612763,MEM,22,14,8,0.636,208.0,114.5,119.3,114.9,115.1,-0.4,4.2,0.545,1.91,17.3,0.368,0.728,0.541,0.131,0.539,0.563,101.9,99.72,83.1,435,0.508,33,27,17279,6892,34,5526,10619,7082,7952,3377,6804,4397,8240,5961,10315,6877,7739,7793,S. Adams,J. Jackson Jr.,J. Morant,D. Bane,Z. Williams,5,5,1,3,0
Lineups, -203920-1627783-1627832-1629018-1630567-, K. Birch - P. Siakam - F. VanVleet - G. Trent Jr. - S. Barnes,1610612761,TOR,18,10,8,0.556,188.0,110.2,109.9,114.3,115.6,-4.1,-5.7,0.463,1.48,14.0,0.302,0.796,0.526,0.127,0.51,0.55,99.8,99.41,82.84,393,0.437,67,78,17279,7171,35,6779,10659,9556,10054,4221,9206,6028,6839,6308,10209,7293,8043,9355,K. Birch,P. Siakam,F. VanVleet,G. Trent Jr.,S. Barnes,2,1,1,3,5
Lineups, -203500-1626145-1628415-1628991-1630217-, S. Adams - T. Jones - D. Brooks - J. Jackson Jr. - D. Bane,1610612763,MEM,18,14,4,0.778,185.0,115.5,114.8,104.7,106.2,10.8,8.6,0.596,2.15,18.0,0.332,0.729,0.534,0.119,0.522,0.563,100.6,100.18,83.48,385,0.567,67,27,16599,5970,36,6073,9554,6719,7411,2189,6483,5845,8234,6109,9697,7169,7723,6657,S. Adams,T. Jones,D. Brooks,J. Jackson Jr.,D. Bane,5,6,3,5,3
Lineups, -201587-202694-202704-1627826-1629611-, N. Batum - M. Morris Sr. - R. Jackson - I. Zubac - T. Mann,1610612746,LAC,19,11,8,0.579,181.0,112.7,114.4,106.6,104.0,6.1,10.4,0.55,1.98,18.0,0.296,0.729,0.516,0.127,0.536,0.564,98.0,98.48,82.07,369,0.538,55,59,17279,7105,37,6088,9384,6540,7880,3351,6497,6134,8233,6499,10213,6970,7661,7264,N. Batum,M. Morris Sr.,R. Jackson,I. Zubac,T. Mann,0,3,3,5,3
Lineups, -203991-1628381-1628989-1629027-1629631-, C. Capela - J. Collins - K. Huerter - T. Young - D. Hunter,1610612737,ATL,15,9,6,0.6,178.0,113.0,114.7,112.3,112.4,0.7,2.2,0.617,2.06,20.1,0.291,0.772,0.534,0.139,0.572,0.588,105.2,104.42,87.02,389,0.509,110,106,17121,6953,38,6081,10223,7224,6901,2225,4613,6178,7130,6108,10552,6088,6889,7781,C. Capela,J. Collins,K. Huerter,T. Young,D. Hunter,5,5,3,1,0
Lineups, -1626174-1628464-1629645-1630224-1630256-, C. Wood - D. Theis - K. Porter Jr. - J. Green - J. Tate,1610612745,HOU,13,1,12,0.077,172.0,82.8,82.4,109.0,108.5,-26.2,-26.1,0.568,0.76,13.3,0.258,0.79,0.52,0.228,0.448,0.474,101.2,101.65,84.71,364,0.344,161,3401,17357,10194,39,10901,9790,11475,7724,6855,9481,6679,6858,6409,13842,9852,10695,10865,C. Wood,D. Theis,K. Porter Jr.,J. Green,J. Tate,5,0,3,3,3
Lineups, -201142-201933-201935-203925-1628971-, K. Durant - B. Griffin - J. Harden - J. Harris - B. Brown,1610612751,BRK,11,9,2,0.818,171.0,103.8,103.0,96.9,97.8,6.9,5.1,0.721,1.66,20.0,0.194,0.782,0.503,0.165,0.548,0.577,103.7,103.65,86.38,370,0.556,228,106,13953,5844,40,7414,7015,7024,5032,3725,4616,8492,6948,6613,11594,6718,7205,6832,K. Durant,B. Griffin,J. Harden,J. Harris,B. Brown,1,0,1,0,0
Lineups, -203500-1628991-1629001-1629630-1630217-, S. Adams - J. Jackson Jr. - D. Melton - J. Morant - D. Bane,1610612763,MEM,23,13,10,0.565,170.0,114.1,115.6,110.7,109.1,3.4,6.5,0.539,1.66,16.3,0.362,0.728,0.539,0.139,0.528,0.566,102.0,102.01,85.01,359,0.514,28,38,17335,7169,42,5987,9878,6939,7967,3723,7820,4477,8239,5981,10576,7080,7609,7691,S. Adams,J. Jackson Jr.,D. Melton,J. Morant,D. Bane,5,5,3,1,3
Lineups, -203115-203932-203999-1628420-1629008-, W. Barton - A. Gordon - N. Jokic - M. Morris - M. Porter Jr.,1610612743,DEN,9,5,4,0.556,170.0,104.3,104.7,94.1,93.6,10.3,11.1,0.615,1.5,19.6,0.219,0.805,0.533,0.178,0.57,0.58,101.8,101.84,84.87,359,0.573,376,397,16599,7171,41,7312,6764,6490,6903,3836,5675,7844,6336,6110,12378,6216,7161,6529,W. Barton,A. Gordon,N. Jokic,M. Morris,M. Porter Jr.,3,3,1,3,0
Lineups, -201587-202331-202339-202704-1627826-, N. Batum - P. George - E. Bledsoe - R. Jackson - I. Zubac,1610612746,LAC,13,9,4,0.692,167.0,103.8,104.7,111.1,114.1,-7.3,-9.3,0.604,1.56,17.7,0.188,0.765,0.476,0.151,0.53,0.566,104.5,102.61,85.51,358,0.477,161,106,16599,6274,43,7311,10433,9897,6990,3814,6583,8520,7197,9461,11268,7056,7607,8561,N. Batum,P. George,E. Bledsoe,R. Jackson,I. Zubac,0,1,6,3,5
Lineups, -203991-203992-1628381-1628989-1629027-, C. Capela - B. Bogdanovic - J. Collins - K. Huerter - T. Young,1610612737,ATL,14,11,3,0.786,164.0,125.9,128.2,99.5,97.4,26.4,30.8,0.59,2.76,21.0,0.311,0.735,0.549,0.11,0.617,0.635,98.8,98.94,82.45,337,0.63,129,59,15870,5966,44,4394,6995,4671,7436,1632,4415,5954,8161,5750,9191,5133,5553,5589,C. Capela,B. Bogdanovic,J. Collins,K. Huerter,T. Young,5,3,5,3,1
Lineups, -203914-1628964-1628976-1630175-1630532-, G. Harris - M. Bamba - W. Carter Jr. - C. Anthony - F. Wagner,1610612753,ORL,22,5,17,0.227,163.0,115.5,114.9,108.3,109.2,7.2,5.8,0.667,2.04,20.6,0.273,0.758,0.518,0.143,0.574,0.601,99.1,98.89,82.41,335,0.523,33,397,17379,10070,45,6064,9879,6978,5427,2230,4520,6484,7248,6461,11126,6075,6495,7536,G. Harris,M. Bamba,W. Carter Jr.,C. Anthony,F. Wagner,0,5,5,3,3
Lineups, -200782-202710-1628389-1629130-1629216-, P. Tucker - J. Butler - B. Adebayo - D. Robinson - G. Vincent,1610612748,MIA,20,13,7,0.65,163.0,108.4,110.8,102.1,102.8,6.3,8.0,0.758,1.96,21.2,0.283,0.814,0.54,0.157,0.538,0.566,97.6,96.22,80.18,325,0.541,46,38,17218,6882,46,6658,9279,6806,4385,3356,4320,6423,6288,5973,11457,6926,7604,7178,P. Tucker,J. Butler,B. Adebayo,D. Robinson,G. Vincent,0,1,5,0,6
Lineups, -1627832-1628384-1629018-1630173-1630567-, F. VanVleet - O. Anunoby - G. Trent Jr. - P. Achiuwa - S. Barnes,1610612761,TOR,17,11,6,0.647,158.0,107.4,109.0,101.7,100.6,5.7,8.4,0.489,1.79,15.3,0.311,0.763,0.523,0.118,0.511,0.532,98.4,98.21,81.84,322,0.502,86,59,17121,6884,47,6881,9205,6738,9996,3477,8285,5956,7216,6364,9680,7284,8409,7847,F. VanVleet,O. Anunoby,G. Trent Jr.,P. Achiuwa,S. Barnes,1,3,3,0,5
Lineups, -1628977-1630165-1630180-1630191-1630595-, H. Diallo - K. Hayes - S. Bey - I. Stewart - C. Cunningham,1610612765,DET,14,5,9,0.357,156.0,101.3,101.8,112.3,113.0,-11.0,-11.2,0.573,1.56,17.3,0.196,0.732,0.469,0.147,0.516,0.545,102.0,101.39,84.5,327,0.445,129,397,17307,9260,48,7470,10342,10099,7556,3813,6807,8489,8213,9626,11156,7250,8151,9140,H. Diallo,K. Hayes,S. Bey,I. Stewart,C. Cunningham,2,6,3,5,1
Lineups, -1626156-1626157-1629020-1630162-1630183-, D. Russell - K. Towns - J. Vanderbilt - A. Edwards - J. McDaniels,1610612750,MIN,19,10,9,0.526,155.0,107.6,108.1,110.8,112.6,-3.1,-4.6,0.602,1.57,17.4,0.282,0.706,0.492,0.152,0.532,0.567,104.5,103.46,86.22,335,0.486,55,78,17307,7216,49,6970,10330,9456,6992,3810,6798,6428,8686,9239,11286,7014,7596,8412,D. Russell,K. Towns,J. Vanderbilt,A. Edwards,J. McDaniels,1,1,5,3,0
Lineups, -201145-203085-203932-203999-1628420-, J. Green - A. Rivers - A. Gordon - N. Jokic - M. Morris,1610612743,DEN,10,7,3,0.7,153.0,123.0,123.1,104.5,104.5,18.4,18.6,0.676,2.41,21.3,0.269,0.746,0.538,0.125,0.586,0.633,97.8,97.79,81.49,312,0.629,295,212,15870,6259,50,4986,9408,5751,5416,1959,4306,6571,8090,5982,9775,5775,5598,5591,J. Green,A. Rivers,A. Gordon,N. Jokic,M. Morris,2,0,3,1,3
